#years	seasons	measurements	sites	entries	populations	replications	blocks	rows	cols	trait_1	trait_2	trait_3
2026	Autumn	2026-05-18	site_1	entry_001	pop_1	replication_1	block_06	row_03	col_11	10.547018764479745	256.54848126950236	273.6426178673763
2026	Autumn	2026-05-18	site_1	entry_002	pop_1	replication_1	block_10	row_02	col_19	10.454365715709585	244.42752128204353	278.16675755358057
2026	Autumn	2026-05-18	site_1	entry_003	pop_1	replication_1	block_07	row_01	col_14	11.195898617457663	252.43253654318832	259.90927114644984
2026	Autumn	2026-05-18	site_1	entry_004	pop_1	replication_1	block_06	row_02	col_12	11.186075100603281	244.63568478771168	261.5529736473375
2026	Autumn	2026-05-18	site_1	entry_005	pop_1	replication_1	block_02	row_05	col_03	11.522788989692797	264.2246880322716	262.02543402067016
2026	Autumn	2026-05-18	site_1	entry_006	pop_1	replication_1	block_04	row_05	col_07	10.546653293542732	236.32116980638762	271.31053183271104
2026	Autumn	2026-05-18	site_1	entry_007	pop_1	replication_1	block_08	row_02	col_15	10.10528410088124	254.13253664546406	272.2157992406146
2026	Autumn	2026-05-18	site_1	entry_008	pop_1	replication_1	block_08	row_04	col_15	12.550449901012913	264.988800629602	270.74248933764017
2026	Autumn	2026-05-18	site_1	entry_009	pop_1	replication_1	block_09	row_01	col_17	11.630347025429952	229.50826993243479	258.4448198653792
2026	Autumn	2026-05-18	site_1	entry_010	pop_1	replication_1	block_03	row_05	col_06	10.968848221007423	269.12981736498807	259.7717603664052
2026	Autumn	2026-05-18	site_1	entry_011	pop_1	replication_1	block_05	row_03	col_09	10.924264190123038	247.826340288749	257.87677492718825
2026	Autumn	2026-05-18	site_1	entry_012	pop_1	replication_1	block_10	row_01	col_20	11.602263915434044	254.6771967256526	276.6476453628639
2026	Autumn	2026-05-18	site_1	entry_013	pop_1	replication_1	block_08	row_01	col_16	NA	241.82392114010963	262.87832048192774
2026	Autumn	2026-05-18	site_1	entry_014	pop_1	replication_1	block_08	row_05	col_16	10.28238062070754	253.23184758161852	NA
2026	Autumn	2026-05-18	site_1	entry_015	pop_1	replication_1	block_05	row_01	col_10	9.634362089752893	255.17418593220404	275.98537860603074
2026	Autumn	2026-05-18	site_1	entry_016	pop_1	replication_1	block_10	row_02	col_20	9.610016227113602	256.8079154431217	270.8742881812001
2026	Autumn	2026-05-18	site_1	entry_017	pop_1	replication_1	block_01	row_03	col_02	11.137284792486483	222.34405042088898	277.5411385385342
2026	Autumn	2026-05-18	site_1	entry_018	pop_1	replication_1	block_07	row_02	col_13	9.135152141398798	233.88932396367804	NA
2026	Autumn	2026-05-18	site_1	entry_019	pop_1	replication_1	block_08	row_03	col_16	13.166531962229396	253.82602776688393	266.2830281494157
2026	Autumn	2026-05-18	site_1	entry_020	pop_1	replication_1	block_05	row_02	col_09	11.62933078243024	254.4870126585284	266.9721560705811
2026	Autumn	2026-05-18	site_1	entry_021	pop_1	replication_1	block_01	row_05	col_02	NA	274.6569636422059	259.00529994132563
2026	Autumn	2026-05-18	site_1	entry_022	pop_1	replication_1	block_06	row_03	col_12	NA	263.90901829471767	272.1771258447639
2026	Autumn	2026-05-18	site_1	entry_023	pop_1	replication_1	block_09	row_01	col_18	12.75198026188712	249.11404271404237	NA
2026	Autumn	2026-05-18	site_1	entry_024	pop_1	replication_1	block_01	row_01	col_02	10.815443181262152	270.8662084552239	275.9989982208047
2026	Autumn	2026-05-18	site_1	entry_025	pop_1	replication_1	block_09	row_02	col_17	11.81383997565224	262.9172850038811	262.824500991463
2026	Autumn	2026-05-18	site_1	entry_026	pop_1	replication_1	block_04	row_01	col_07	10.937831549223747	239.60693106787625	266.36952994604746
2026	Autumn	2026-05-18	site_1	entry_027	pop_1	replication_1	block_10	row_05	col_19	12.024114027072493	246.0672649729739	NA
2026	Autumn	2026-05-18	site_1	entry_028	pop_1	replication_1	block_05	row_03	col_10	10.69595084359976	264.4152165037138	255.2866332875039
2026	Autumn	2026-05-18	site_1	entry_029	pop_1	replication_1	block_04	row_04	col_08	10.67547680746518	236.4358355496812	260.90054412720565
2026	Autumn	2026-05-18	site_1	entry_030	pop_1	replication_1	block_10	row_05	col_20	11.448013672750808	238.85197931032863	274.600385866734
2026	Autumn	2026-05-18	site_1	entry_031	pop_1	replication_1	block_03	row_05	col_05	9.396590494892491	258.3546818675598	255.78962210028175
2026	Autumn	2026-05-18	site_1	entry_032	pop_1	replication_1	block_01	row_02	col_02	11.364751054243847	262.4999300494091	NA
2026	Autumn	2026-05-18	site_1	entry_033	pop_1	replication_1	block_02	row_03	col_03	11.89145758114617	290.79604872828526	252.5799820130232
2026	Autumn	2026-05-18	site_1	entry_034	pop_2	replication_1	block_04	row_05	col_08	11.22180369353933	238.32720922945512	265.3169205597011
2026	Autumn	2026-05-18	site_1	entry_035	pop_2	replication_1	block_07	row_02	col_14	10.910214327128696	255.91964190651677	267.97015957589423
2026	Autumn	2026-05-18	site_1	entry_036	pop_2	replication_1	block_01	row_01	col_01	11.626299842136516	246.25560874386656	272.32377450329534
2026	Autumn	2026-05-18	site_1	entry_037	pop_2	replication_1	block_03	row_03	col_05	9.566751756532684	NA	265.2734391599462
2026	Autumn	2026-05-18	site_1	entry_038	pop_2	replication_1	block_07	row_05	col_14	11.30735761275016	264.33834192309126	272.2614084859538
2026	Autumn	2026-05-18	site_1	entry_039	pop_2	replication_1	block_03	row_04	col_05	11.46285452339462	236.83444948831092	257.853447335122
2026	Autumn	2026-05-18	site_1	entry_040	pop_2	replication_1	block_09	row_04	col_18	9.685152077470459	262.81315188579674	261.18692883791493
2026	Autumn	2026-05-18	site_1	entry_041	pop_2	replication_1	block_09	row_05	col_17	11.409014184534199	267.83319185611356	256.74040333816663
2026	Autumn	2026-05-18	site_1	entry_042	pop_2	replication_1	block_06	row_02	col_11	12.878980846697088	NA	273.9061957336666
2026	Autumn	2026-05-18	site_1	entry_043	pop_2	replication_1	block_04	row_01	col_08	10.494509736795246	236.57578561126888	263.37406242266854
2026	Autumn	2026-05-18	site_1	entry_044	pop_2	replication_1	block_09	row_02	col_18	10.585064681123805	231.9744969670181	259.8736498884698
2026	Autumn	2026-05-18	site_1	entry_045	pop_2	replication_1	block_07	row_04	col_13	10.536256808989584	267.59088186200404	278.8214405240794
2026	Autumn	2026-05-18	site_1	entry_046	pop_2	replication_1	block_09	row_03	col_17	11.604142609237599	231.98116432794157	259.76650531945074
2026	Autumn	2026-05-18	site_1	entry_047	pop_2	replication_1	block_02	row_02	col_03	9.5021976992435	271.0335785958717	NA
2026	Autumn	2026-05-18	site_1	entry_048	pop_2	replication_1	block_10	row_01	col_19	12.945798419409867	250.34295245025592	268.2131985041771
2026	Autumn	2026-05-18	site_1	entry_049	pop_2	replication_1	block_04	row_03	col_07	11.535787242046052	248.79256760648684	251.41249949044592
2026	Autumn	2026-05-18	site_1	entry_050	pop_2	replication_1	block_06	row_05	col_11	12.272853656944774	243.7225378976473	275.0158199127466
2026	Autumn	2026-05-18	site_1	entry_051	pop_2	replication_1	block_06	row_01	col_12	11.772587499236412	250.69416369383416	259.79152000867873
2026	Autumn	2026-05-18	site_1	entry_052	pop_2	replication_1	block_02	row_04	col_04	8.968373154288605	284.7546855503004	261.31461633314444
2026	Autumn	2026-05-18	site_1	entry_053	pop_2	replication_1	block_01	row_04	col_01	10.518320481155637	247.62237769875512	272.5135643491499
2026	Autumn	2026-05-18	site_1	entry_054	pop_2	replication_1	block_03	row_02	col_05	11.716832046962175	229.07985371989784	262.2193362658844
2026	Autumn	2026-05-18	site_1	entry_055	pop_2	replication_1	block_05	row_04	col_10	10.83382461215207	NA	274.0524327293701
2026	Autumn	2026-05-18	site_1	entry_056	pop_2	replication_1	block_03	row_01	col_06	10.260996304203697	253.89915725747088	272.4651808203199
2026	Autumn	2026-05-18	site_1	entry_057	pop_2	replication_1	block_05	row_05	col_09	12.124308537922998	238.6386496689931	273.34159213491944
2026	Autumn	2026-05-18	site_1	entry_058	pop_2	replication_1	block_04	row_03	col_08	12.730849317046527	246.5040864116638	268.15654547484485
2026	Autumn	2026-05-18	site_1	entry_059	pop_2	replication_1	block_07	row_04	col_14	12.033902541090512	244.1773558202746	257.4901404381992
2026	Autumn	2026-05-18	site_1	entry_060	pop_2	replication_1	block_05	row_01	col_09	10.67180466266539	249.30298274405112	276.3353816568484
2026	Autumn	2026-05-18	site_1	entry_061	pop_2	replication_1	block_09	row_03	col_18	11.270077923782736	237.30838107039742	272.7910660560067
2026	Autumn	2026-05-18	site_1	entry_062	pop_2	replication_1	block_08	row_02	col_16	12.204683334052849	249.48496135442934	NA
2026	Autumn	2026-05-18	site_1	entry_063	pop_2	replication_1	block_05	row_05	col_10	11.094939028684166	267.0490188819197	274.41829829198963
2026	Autumn	2026-05-18	site_1	entry_064	pop_2	replication_1	block_05	row_04	col_09	12.361493154066409	238.97214425121567	253.71507145841704
2026	Autumn	2026-05-18	site_1	entry_065	pop_2	replication_1	block_04	row_02	col_08	11.396306774846225	268.51772961580497	267.90806558278877
2026	Autumn	2026-05-18	site_1	entry_066	pop_2	replication_1	block_10	row_03	col_20	10.523056979124902	255.96696518114504	274.2107204290884
2026	Autumn	2026-05-18	site_1	entry_067	pop_3	replication_1	block_01	row_02	col_01	12.191306369450967	233.05399505789833	273.75934489207515
2026	Autumn	2026-05-18	site_1	entry_068	pop_3	replication_1	block_03	row_01	col_05	11.479926966119377	270.4069221675492	274.5020826732315
2026	Autumn	2026-05-18	site_1	entry_069	pop_3	replication_1	block_02	row_01	col_03	9.618195892484218	239.4237205110725	254.44786252652813
2026	Autumn	2026-05-18	site_1	entry_070	pop_3	replication_1	block_10	row_04	col_20	10.84723860114681	237.45532138281007	265.11394223547995
2026	Autumn	2026-05-18	site_1	entry_071	pop_3	replication_1	block_07	row_01	col_13	9.579953838864812	263.3500940208208	265.1303495747835
2026	Autumn	2026-05-18	site_1	entry_072	pop_3	replication_1	block_03	row_02	col_06	11.288407216744487	241.92099838292108	260.4709942052161
2026	Autumn	2026-05-18	site_1	entry_073	pop_3	replication_1	block_08	row_04	col_16	10.953200353046112	261.6353887298248	261.26341729837844
2026	Autumn	2026-05-18	site_1	entry_074	pop_3	replication_1	block_02	row_02	col_04	10.945461031592862	256.59827388735755	280.94968511019914
2026	Autumn	2026-05-18	site_1	entry_075	pop_3	replication_1	block_09	row_04	col_17	12.866724406310814	237.09093812705981	274.45901363233577
2026	Autumn	2026-05-18	site_1	entry_076	pop_3	replication_1	block_01	row_04	col_02	12.953541536851596	247.6321294583776	275.47335894739825
2026	Autumn	2026-05-18	site_1	entry_077	pop_3	replication_1	block_10	row_04	col_19	10.868062805112563	268.96821743169534	276.2146757443745
2026	Autumn	2026-05-18	site_1	entry_078	pop_3	replication_1	block_10	row_03	col_19	10.41760145061937	292.3771442426273	260.0279054573136
2026	Autumn	2026-05-18	site_1	entry_079	pop_3	replication_1	block_08	row_01	col_15	9.427755815636091	268.15826827252226	259.1255641312466
2026	Autumn	2026-05-18	site_1	entry_080	pop_3	replication_1	block_02	row_04	col_03	10.948765517548484	251.90601056988717	258.6143668364564
2026	Autumn	2026-05-18	site_1	entry_081	pop_3	replication_1	block_01	row_03	col_01	10.106659870526846	NA	263.42624831578155
2026	Autumn	2026-05-18	site_1	entry_082	pop_3	replication_1	block_08	row_03	col_15	10.882411225429047	257.4464219254442	NA
2026	Autumn	2026-05-18	site_1	entry_083	pop_3	replication_1	block_06	row_04	col_12	11.27703920408848	233.77274825419397	263.2444487929443
2026	Autumn	2026-05-18	site_1	entry_084	pop_3	replication_1	block_07	row_05	col_13	10.876702214742815	240.36926677348887	276.3721597104483
2026	Autumn	2026-05-18	site_1	entry_085	pop_3	replication_1	block_04	row_04	col_07	10.59737421208046	238.66868406879584	NA
2026	Autumn	2026-05-18	site_1	entry_086	pop_3	replication_1	block_03	row_03	col_06	12.923850367003814	261.5140246606073	267.0991585791864
2026	Autumn	2026-05-18	site_1	entry_087	pop_3	replication_1	block_05	row_02	col_10	11.315751868853898	270.36622192544706	264.3865515116753
2026	Autumn	2026-05-18	site_1	entry_088	pop_3	replication_1	block_07	row_03	col_13	9.411204623024963	258.60785495850524	260.92901809144223
2026	Autumn	2026-05-18	site_1	entry_089	pop_3	replication_1	block_02	row_03	col_04	11.656710331126988	241.49780397025995	265.17203877238194
2026	Autumn	2026-05-18	site_1	entry_090	pop_3	replication_1	block_04	row_02	col_07	10.638677288726218	252.2286042988275	261.3595315741711
2026	Autumn	2026-05-18	site_1	entry_091	pop_3	replication_1	block_02	row_05	col_04	10.82709452365892	254.5806760522469	265.1289214590901
2026	Autumn	2026-05-18	site_1	entry_092	pop_3	replication_1	block_08	row_05	col_15	10.857213055329082	274.85639086348857	252.4032142498086
2026	Autumn	2026-05-18	site_1	entry_093	pop_3	replication_1	block_06	row_01	col_11	11.943613695244064	256.9451390457612	257.57809831450567
2026	Autumn	2026-05-18	site_1	entry_094	pop_3	replication_1	block_06	row_05	col_12	12.963147816286071	246.54716129164757	267.82468190629476
2026	Autumn	2026-05-18	site_1	entry_095	pop_3	replication_1	block_06	row_04	col_11	11.689619183249322	268.2268211161627	263.2405769498783
2026	Autumn	2026-05-18	site_1	entry_096	pop_3	replication_1	block_01	row_05	col_01	10.660744914673206	240.28833934792272	268.8010329565663
2026	Autumn	2026-05-18	site_1	entry_097	pop_3	replication_1	block_07	row_03	col_14	13.144132536186962	237.08992790908937	263.3836053110768
